Point,Site,TopCanopy,Code1,Code2,Code3,SoilSurface
0.2,Amt1,,,,,DAC
0.4,Amt1,,,,,IC
0.6,Amt1,,,,,G
0.8,Amt1,AF,,,,DAC
1,Amt1,AF,,,,IC
1.2,Amt1,AF,,,,G
1.4,Amt1,,,,HL,BG
1.6,Amt1,LATR,,,HL,IC
1.8,Amt1,LATR,,,,IC
2,Amt1,,,,,LAC
2.2,Amt1,,,,,LAC
2.4,Amt1,,,,,LAC
2.6,Amt1,,,,,LAC
2.8,Amt1,,,,,DAC
3,Amt1,,,,,DAC
3.2,Amt1,,,,,G
3.4,Amt1,AF,,,,LAC
3.6,Amt1,AF,,,,LAC
3.8,Amt1,,,,,BG
4,Amt1,AF,,,,G
4.2,Amt1,,,,,IC
4.4,Amt1,AF,,,,G
4.6,Amt1,,,,,IC
4.8,Amt1,,,,,LAC
5,Amt1,,,,,LAC
5.2,Amt1,,,,,IC
5.4,Amt1,,,,,LAC
5.6,Amt1,AF,KR,,,BG
5.8,Amt1,KR,,,,BG
6,Amt1,KR,,,,LAC
6.2,Amt1,,,,,LAC
6.4,Amt1,AF,,,,IC
6.6,Amt1,,,,,LAC
6.8,Amt1,,,,HL,LAC
7,Amt1,KR,AF,,,LAC
7.2,Amt1,KR,,,,IC
7.4,Amt1,,,,,LAC
7.6,Amt1,AF,,,,LAC
7.8,Amt1,,,,,IC
8,Amt1,,,,,G
8.2,Amt1,,,,,IC
8.4,Amt1,AF,,,,IC
8.6,Amt1,KR,AF,,,LAC
8.8,Amt1,KR,,,,LAC
9,Amt1,AF,,,,G
9.2,Amt1,KR,AF,,,DAC
9.4,Amt1,AF,KR,,,IC
9.6,Amt1,KR,,,,IC
9.8,Amt1,AF,,,,DAC
10,Amt1,AF,,,,IC
10.2,Amt1,,,,,G
10.4,Amt1,,,,,BG
10.6,Amt1,,,,,IC
10.8,Amt1,,,,,G
11,Amt1,,,,,BG
11.2,Amt1,,,,,Collema
11.4,Amt1,,,,,G
11.6,Amt1,,,,,IC
11.8,Amt1,,,,,G
12,Amt1,,,,,Clav
12.2,Amt1,,,,HL,Collema
12.4,Amt1,,,,,Collema
12.6,Amt1,KR,,,,Clav
12.8,Amt1,KR,,,HL,BG
13,Amt1,KR,,,HL,BG
13.2,Amt1,KR,,,,IC
13.4,Amt1,,,,,Collema
13.6,Amt1,,,,,Pelt
13.8,Amt1,,,,,DAC
14,Amt1,,,,,LAC
14.2,Amt1,AF,,,,IC
14.4,Amt1,,,,HL,BG
14.6,Amt1,,,,,IC
14.8,Amt1,LATR,AF,,,DAC
15,Amt1,LATR,AF,,,IC
15.2,Amt1,,,,,Collema
15.4,Amt1,,,,,LAC
15.6,Amt1,,,,,LAC
15.8,Amt1,,,,,G
16,Amt1,AF,,,,IC
16.2,Amt1,,,,,IC
16.4,Amt1,,,,,IC
16.6,Amt1,,,,,DAC
16.8,Amt1,,,,,DAC
17,Amt1,,,,,Pelt
17.2,Amt1,,,,,IC
17.4,Amt1,,,,,IC
17.6,Amt1,,,,,G
17.8,Amt1,,,,,G
18,Amt1,,,,,G
18.2,Amt1,AF,,,HL,IC
18.4,Amt1,AF,,,HL,BG
18.6,Amt1,,,,,IC
18.8,Amt1,,,,HL,IC
19,Amt1,AF,,,HL,BG
19.2,Amt1,,,,,IC
19.4,Amt1,AF,,,,IC
19.6,Amt1,AF,LATR,,,IC
19.8,Amt1,LATR,AF,,,IC
20,Amt1,,,,,DAC
20.2,Amt1,AF,,,,DAC
20.4,Amt1,AF,,,,DAC
20.6,Amt1,,,,,DAC
