Site,Type,Biomass,Amount,Percent
AMT,LA,GramPosBiomass,115.9,7.87
AMT,LA,TotalBacteriaBiomass,610.33,41.44
AMT,LA,ActinomycetesBiomass,0,0
AMT,LA,GramNegBiomass,494.43,33.57
AMT,LA,RhizobiaBiomass,0,0
AMT,LA,TotalFungiBiomass,207.88,14.12
AMT,LA,ArbuscularMycorrhizalBiomass,38.73,2.63
AMT,LA,SaprophytesBiomass,169.15,11.49
AMT,LA,ProtozoaBiomass,0,0
AMT,LA,GramPosBiomassA,115.9,7.87
AMT,LA,UndifferentiatedBiomass,654.43,44.44
AMT,DA,GramPosBiomass,208.05,9
AMT,DA,TotalBacteriaBiomass,731.37,31.62
AMT,DA,ActinomycetesBiomass,28.27,1.22
AMT,DA,GramNegBiomass,495.05,21.41
AMT,DA,RhizobiaBiomass,0,0
AMT,DA,TotalFungiBiomass,174.72,7.56
AMT,DA,ArbuscularMycorrhizalBiomass,36.72,1.59
AMT,DA,SaprophytesBiomass,138,5.97
AMT,DA,ProtozoaBiomass,0,0
AMT,DA,GramPosBiomassA,236.32,10.22
AMT,DA,UndifferentiatedBiomass,1406.55,60.82
AMT,PT,GramPosBiomass,700.75,9.33
AMT,PT,TotalBacteriaBiomass,2917.78,38.86
AMT,PT,ActinomycetesBiomass,98.52,1.31
AMT,PT,GramNegBiomass,2118.52,28.21
AMT,PT,RhizobiaBiomass,0,0
AMT,PT,TotalFungiBiomass,1283.74,17.1
AMT,PT,ArbuscularMycorrhizalBiomass,201.69,2.69
AMT,PT,SaprophytesBiomass,1082.05,14.41
AMT,PT,ProtozoaBiomass,0,0
AMT,PT,GramPosBiomassA,799.27,10.64
AMT,PT,UndifferentiatedBiomass,3307.27,44.05
AMT,CL,GramPosBiomass,783.11,8.32
AMT,CL,TotalBacteriaBiomass,3470.55,36.84
AMT,CL,ActinomycetesBiomass,110.55,1.17
AMT,CL,GramNegBiomass,2576.9,27.35
AMT,CL,RhizobiaBiomass,0,0
AMT,CL,TotalFungiBiomass,2060.73,21.88
AMT,CL,ArbuscularMycorrhizalBiomass,209.63,2.23
AMT,CL,SaprophytesBiomass,1851.1,19.65
AMT,CL,ProtozoaBiomass,0,0
AMT,CL,GramPosBiomassA,893.66,9.49
AMT,CL,UndifferentiatedBiomass,3889.19,41.28
AMT,MO,GramPosBiomass,535.73,8.89
AMT,MO,TotalBacteriaBiomass,2450.95,40.64
AMT,MO,ActinomycetesBiomass,64.72,1.07
AMT,MO,GramNegBiomass,1850.5,30.69
AMT,MO,RhizobiaBiomass,0,0
AMT,MO,TotalFungiBiomass,1200.46,19.91
AMT,MO,ArbuscularMycorrhizalBiomass,231.11,3.83
AMT,MO,SaprophytesBiomass,969.36,16.07
AMT,MO,ProtozoaBiomass,0,0
AMT,MO,GramPosBiomassA,600.45,9.96
AMT,MO,UndifferentiatedBiomass,2379,39.45
JER,LA,GramPosBiomass,477.66,29.21
JER,LA,TotalBacteriaBiomass,1187.46,72.61
JER,LA,ActinomycetesBiomass,122.69,7.5
JER,LA,GramNegBiomass,587.11,35.9
JER,LA,RhizobiaBiomass,0,0
JER,LA,TotalFungiBiomass,170.93,10.45
JER,LA,ArbuscularMycorrhizalBiomass,43.73,2.67
JER,LA,SaprophytesBiomass,127.2,7.78
JER,LA,ProtozoaBiomass,0,0
JER,LA,GramPosBiomassA,600.35,36.71
JER,LA,UndifferentiatedBiomass,277.1,16.94
JER,DA,GramPosBiomass,247.27,6.14
JER,DA,TotalBacteriaBiomass,1797.25,44.67
JER,DA,ActinomycetesBiomass,35.69,0.89
JER,DA,GramNegBiomass,1514.29,37.64
JER,DA,RhizobiaBiomass,0,0
JER,DA,TotalFungiBiomass,658.66,16.37
JER,DA,ArbuscularMycorrhizalBiomass,113.13,2.81
JER,DA,SaprophytesBiomass,545.52,13.56
JER,DA,ProtozoaBiomass,0,0
JER,DA,GramPosBiomassA,282.96,7.03
JER,DA,UndifferentiatedBiomass,1567.63,38.96
