OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV1027,WHS,CL,0.004952538, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV1027,WHS,PT,0.00481373, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV1027,WHS,MO,0.004639295, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV1027,WHS,DA,0.002528736, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV1027,WHS,LA,0.001782134, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV103,JER,PT,0.008624603, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,JER,DA,0.007050305, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,AMT,PT,0.026509245, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,AMT,LA,0.022147226, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,AMT,DA,0.01682169, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,AMT,CL,0.012543554, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,AMT,MO,0.011041009, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,JER,MO,0.02575263, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,JER,DA,0.0234375, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,JER,LA,0.013597603, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,JER,PT,0.002118323, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,JER,CL,0.001823305, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,VOL,DA,0.019475921, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV108,VOL,LA,0.016250254, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
