Sample,Site,Type,Rep,Rem,Thickness,1:1 Soil pH,1:1 S Salts mmho/cm,Organic Matter LOI %,Nitrate-N ppm N,Olsen P ppm P,Potassium ppm K,Sulfate-S ppm S,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%K Sat,%Ca Sat,%Mg Sat,%Na Sat
AC1,AMT,CL,1,,4.27,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10,0
AC2,AMT,CL,2,,7.8,,,,,,,,,,,,,,,
AC3,AMT,CL,3,,6.52,,,,,,,,,,,,,,,
AC4,AMT,CL,4,,8.22,,,,,,,,,,,,,,,
AC5,AMT,CL,5,,6.04,,,,,,,,,,,,,,,
AD1,AMT,DA,1,,3.87,8.1,0.12,1.2,0.7,7.2,261,10.6,2650,151,6,15.2,4,87,8,0
AD2,AMT,DA,2,,6.5,,,,,,,,,,,,,,,
AD3,AMT,DA,3,,3.78,,,,,,,,,,,,,,,
AD4,AMT,DA,4,,2.74,,,,,,,,,,,,,,,
AD5,AMT,DA,5,,3.21,,,,,,,,,,,,,,,
AL1,AMT,LA,1,,3.19,8.1,0.12,1.2,1.6,8.9,311,9.8,1991,151,6,12,7,83,10,0
AL2,AMT,LA,2,,2.53,,,,,,,,,,,,,,,
AL3,AMT,LA,3,,5.42,,,,,,,,,,,,,,,
AL4,AMT,LA,4,,3.27,,,,,,,,,,,,,,,
AL5,AMT,LA,5,,7.3,,,,,,,,,,,,,,,
AM1,AMT,MO,1,,6.12,7.7,0.18,2.5,1.5,9.4,351,11.1,1515,142,5,9.7,9,78,12,0
AM2,AMT,MO,2,,8.87,,,,,,,,,,,,,,,
AM3,AMT,MO,3,,8.58,,,,,,,,,,,,,,,
AM4,AMT,MO,4,,8.52,,,,,,,,,,,,,,,
AM5,AMT,MO,5,,5.44,,,,,,,,,,,,,,,
AP05,AMT,PT,5,Rem,5.48,8,0.17,1.7,0.6,5.9,289,13.5,2295,152,6,13.5,5,85,9,0
AP1,AMT,PT,1,,5.29,,,,,,,,,,,,,,,
AP2,AMT,PT,2,,6.31,,,,,,,,,,,,,,,
AP3,AMT,PT,3,,6.33,,,,,,,,,,,,,,,
AP4,AMT,PT,4,,6.44,,,,,,,,,,,,,,,
AP5,AMT,PT,5,,5.48,,,,,,,,,,,,,,,
H2O_Pietrasiak,WATER,W,1,,,,,,,,,,,,,,,,,
JC1,JER,CL,1,,8,8.2,0.11,1.7,1.1,3.6,543,6.3,2840,240,9,17.6,8,81,11,0
JC2,JER,CL,2,,5,,,,,,,,,,,,,,,
JC3,JER,CL,3,,11,,,,,,,,,,,,,,,
JC4,JER,CL,4,,5,,,,,,,,,,,,,,,
JC5,JER,CL,5,,11,,,,,,,,,,,,,,,
JD02,JER,DA,2,Rem,6,8.2,0.19,1.9,2.1,8.8,780,8.4,3797,272,9,23.3,9,81,10,0
JD1,JER,DA,1,,7,,,,,,,,,,,,,,,
JD2,JER,DA,2,,6,,,,,,,,,,,,,,,
JD3,JER,DA,3,,7,,,,,,,,,,,,,,,
JD4,JER,DA,4,,3,,,,,,,,,,,,,,,
JD5,JER,DA,5,,3,,,,,,,,,,,,,,,
