Status,Run,Sample,Site,Type,Rep,JarWt,JarWetWt,TimeIn,TinWt,TinWetWt,DryWt,Thickness,WetCrust,WaterWt,PercentWater,15Nwt
OK,EXP,ALA1,AMT,LA,1,135.095,137.041,8.32,1.243,3.06,2.979,4.425,1.817,0.081,4.457897633,
OK,EXP,JLA1,JER,LA,1,127.886,129.508,8.36,1.236,2.717,2.573,3.1275,1.481,0.144,9.723160027,
OK,EXP,VLA1,VOL,LA,1,126.55,128.215,8.46,1.233,2.543,2.471,2.4125,1.31,0.072,5.496183206,
OK,EXP,WLA1,WHS,LA,1,135.665,139.058,8.52,1.237,4.385,3.715,9.1475,3.148,0.67,21.28335451,
OK,EXP,JDA1,JER,DA,1,135.48,137.319,8.58,1.233,2.793,2.603,3.85,1.56,0.19,12.17948718,
OK,EXP,VDA1,VOL,DA,1,135.354,136.14,9.05,1.235,1.922,1.872,1.69,0.687,0.05,7.278020378,
OK,EXP,WDA1,WHS,DA,1,134.767,137.794,9.08,1.231,4.119,3.609,6.92,2.888,0.51,17.65927978,
OK,EXP,ADA1,AMT,DA,1,127.978,129.878,9.12,1.233,2.97,2.801,3.795,1.737,0.169,9.729418538,
OK,EXP,VCL1,VOL,CL,1,136.151,138.643,9.16,1.241,3.535,3.264,6.68,2.294,0.271,11.81342633,
OK,EXP,WCL1,WHS,CL,1,126.518,129.83,9.2,1.225,4.217,3.827,8.0325,2.992,0.39,13.03475936,
OK,EXP,ACL1,AMT,CL,1,136.935,140.872,9.24,1.24,4.945,4.54,8.2825,3.705,0.405,10.93117409,
OK,EXP,JCL1,JER,CL,1,133.791,138.782,9.28,1.238,5.903,5.15,9.7225,4.665,0.753,16.1414791,
OK,EXP,VPT1,VOL,PT,1,127.964,138.154,9.36,1.237,3.205,2.816,4.625,1.968,0.389,19.76626016,
OK,EXP,APT1,AMT,PT,1,126.383,130.379,9.39,1.247,3.555,2.996,5.415,2.308,0.559,24.22010399,
OK,EXP,JPT1,JER,PT,1,136.433,129.67,9.44,1.238,4.382,3.875,7.0875,3.144,0.507,16.1259542,
OK,EXP,WPT1,WHS,PT,1,136.041,140.372,9.32,1.251,5.044,4.685,8.295,3.793,0.359,9.464803586,
OK,EXP,AMO1,AMT,MO,1,135.265,138.232,9.48,1.239,4.107,3.193,6.935,2.868,0.914,31.86889819,
OK,EXP,JMO1,JER,MO,1,126.27,129.525,9.52,1.235,4.344,3.737,8.5425,3.109,0.607,19.52396269,
OK,EXP,VMO1,VOL,MO,1,135.088,138.708,9.56,1.231,4.541,3.056,8.5,3.31,1.485,44.86404834,
OK,EXP,WMO1,WHS,MO,1,134.267,139.003,10,1.246,5.776,4.461,11.89,4.53,1.315,29.02869757,
OK,EXP,VDA2,VOL,DA,2,133.916,136.37,10.04,1.24,3.568,3.19,5.845,2.328,0.378,16.2371134,
OK,EXP,WDA2,WHS,DA,2,134.967,137.93,10.07,1.249,4.083,3.439,6.09,2.834,0.644,22.72406493,
OK,EXP,ADA2,AMT,DA,2,135.048,136.371,10.12,1.231,2.473,2.277,2.43,1.242,0.196,15.78099839,
OK,EXP,JDA2,JER,DA,2,134.651,138.703,10.18,1.227,4.506,4.201,8.445,3.279,0.305,9.301616346,
OK,EXP,WCL2,WHS,CL,2,135.499,138.184,10.24,1.233,3.699,3.203,7.0275,2.466,0.496,20.1135442,
OK,EXP,ACL2,AMT,CL,2,134.847,138.561,10.3,1.234,4.771,4.195,8.285,3.537,0.576,16.28498728,
OK,EXP,JCL2,JER,CL,2,134.046,136.469,10.32,1.227,3.511,3.119,4.5975,2.284,0.392,17.16287215,
OK,EXP,VCL2,VOL,CL,2,137.199,141.034,10.36,1.236,4.898,4.233,8.1825,3.662,0.665,18.1594757,
OK,EXP,APT2,AMT,PT,2,135.104,137.762,10.41,1.244,3.525,3.142,6.0675,2.281,0.383,16.79088119,
OK,EXP,JPT2,JER,PT,2,135.064,138.802,10.45,1.236,4.653,4.236,9.7425,3.417,0.417,12.20368745,
OK,EXP,VPT2,VOL,PT,2,,136.706,10.49,1.232,2.802,2.481,3.4725,1.57,0.321,20.44585987,
OK,EXP,WPT2,WHS,PT,2,135.581,138.937,10.53,1.237,4.407,3.789,9.97,3.17,0.618,19.49526814,
OK,EXP,JMO2,JER,MO,2,135.733,139.482,10.57,1.241,4.844,3.98,8.195,3.603,0.864,23.98001665,
OK,EXP,VMO2,VOL,MO,2,135.952,139.436,11.01,1.246,4.513,2.93,6.62,3.267,1.583,48.45423936,
OK,EXP,WMO2,WHS,MO,2,134.306,138.134,11.05,1.228,4.845,3.937,8.215,3.617,0.908,25.10367708,
OK,EXP,AMO2,AMT,MO,2,136.937,140.009,11.09,1.234,4.193,3.134,7.2525,2.959,1.059,35.78911795,
OK,EXP,JLA2,JER,LA,2,133.813,137.63,11.13,1.243,4.867,4.329,7.6375,3.624,0.538,14.84547461,
OK,EXP,VLA2,VOL,LA,2,133.76,136.04,11.17,1.245,3.438,3.026,4.9875,2.193,0.412,18.7870497,
OK,EXP,WLA2,WHS,LA,2,136.35,139.294,11.2,1.236,3.663,3.295,5.5125,2.427,0.368,15.16275237,
OK,EXP,ALA2,AMT,LA,2,135.133,136.929,11.24,1.231,2.904,2.654,4.015,1.673,0.25,14.94321578,
OK,EXP,ACL3,AMT,CL,3,133.914,137.395,11.28,1.243,4.99,4.435,9.055,3.747,0.555,14.81184948,
OK,EXP,JCL3,JER,CL,3,134.793,139.217,11.32,1.237,5.396,4.923,9.145,4.159,0.473,11.37292618,
