OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV103,JER,MO,0.01577802, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,JER,CL,0.011105586, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,JER,LA,0.010140585, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,WHS,MO,0.038506147, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,WHS,PT,0.034323985, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,WHS,CL,0.033223277, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,WHS,LA,0.024727111, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV103,WHS,DA,0.023678161, Cyanobacteriia,Oscillatoriales, Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV109,AMT,MO,0.03575184, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,AMT,LA,0.012444632, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,AMT,PT,0.010915571, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,JER,MO,0.033732318, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,JER,DA,0.018483232, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,JER,LA,0.017285089, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,JER,CL,0.014089176, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,JER,PT,0.010289, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,VOL,MO,0.038157895, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,VOL,LA,0.014218972, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,VOL,PT,0.010858835, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,VOL,DA,0.010623229, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV109,WHS,LA,0.010024504, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus, Trichocoleus_desertorum
ASV112,VOL,PT,0.017769003, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SEV30)
ASV112,VOL,LA,0.013812716, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SEV30)
ASV112,VOL,CL,0.012987013, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SEV30)
ASV112,VOL,DA,0.011508499, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SEV30)
ASV112,VOL,MO,0.010789474, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SEV30)
ASV1133,WHS,MO,0.026443981, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,AMT,LA,0.063488715, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,AMT,PT,0.029182446, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,AMT,MO,0.028391167, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,AMT,CL,0.024390244, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,AMT,DA,0.021175539, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,VOL,LA,0.071907374, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,VOL,CL,0.070819805, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,VOL,DA,0.055771955, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,VOL,PT,0.035340573, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV120,VOL,MO,0.015263158, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV1254,VOL,MO,0.023421053, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema,Scytonema sp. 
ASV129,JER,MO,0.023032281, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,JER,DA,0.020960366, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,JER,LA,0.019359299, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,LA,0.035865449, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,DA,0.026896552, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,CL,0.020222864, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,PT,0.018836333, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,MO,0.012758061, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV13,AMT,DA,0.13536513, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
